序号,起点桩号,终止桩号,左平整度,右平整度,左构造深度,右构造深度,中构造深度,左路面跳车,右路面跳车,经度,纬度,高程,车速,异常标记
000001,179080,179090,20.49,19.77,0.7,1.09,1.01,146.84,61.91,0,0,0,10.1,
000002,179090,179100,2.11,2.68,0.44,0.67,0.48,13.18,8.87,0,0,0,13,
000003,179100,179110,1.73,3.85,0.45,0.61,0.44,7.24,13.28,0,0,0,15.8,
000004,179110,179120,2.48,2.46,0.48,1.03,0.7,9.94,4.43,0,0,0,19.1,
000005,179120,179130,3.91,4.84,0.52,0.75,0.63,9.51,18.38,0,0,0,23,
000006,179130,179140,2.59,2.52,0.41,0.47,0.36,13.17,7.34,0,0,0,24.8,
000007,179140,179150,1.68,1.96,0.39,0.43,0.37,4.83,3.95,0,0,0,28.1,
000008,179150,179160,1.49,1.85,0.46,0.52,0.41,7.38,9.71,0,0,0,29.5,
000009,179160,179170,2.08,2.04,0.45,0.52,0.34,5.95,7.6,0,0,0,30.6,
000010,179170,179180,2.06,2.48,0.48,0.45,0.35,6.12,8.18,0,0,0,31.7,
000011,179180,179190,1.15,2.16,0.39,0.36,0.31,4.94,7.31,0,0,0,32.8,
000012,179190,179200,2.16,2.22,0.37,0.37,0.31,10.24,9.85,0,0,0,33.8,
000013,179200,179210,3.06,2.19,0.39,0.37,0.3,10.7,7.36,0,0,0,35.3,
000014,179210,179220,2.52,2.21,0.39,0.37,0.3,14.7,9.33,0,0,0,36.4,
000015,179220,179230,3.4,4.49,0.36,0.38,0.29,19.84,23.19,0,0,0,36.7,
000016,179230,179240,1.92,1.44,0.4,0.38,0.3,10.87,6.64,0,0,0,37.4,
000017,179240,179250,3.12,3.44,0.39,0.4,0.28,17.53,13.73,0,0,0,37.4,
000018,179250,179260,2.19,2.1,0.46,0.39,0.29,9.9,9.29,0,0,0,37.8,
000019,179260,179270,1.21,1.03,0.44,0.45,0.4,3.89,2.84,0,0,0,37.8,
