序号,起点桩号,终止桩号,左车辙,右车辙
000001,179080,179090,15.19,18.61
000002,179090,179100,2.21,3.55
000003,179100,179110,4.92,5.45
000004,179110,179120,2.62,4.97
000005,179120,179130,1.56,4.09
000006,179130,179140,3.35,3.88
000007,179140,179150,1.66,3.3
000008,179150,179160,1.43,3.27
000009,179160,179170,1.53,4.23
000010,179170,179180,1.61,3.65
000011,179180,179190,1.41,6.75
000012,179190,179200,1.9,11.49
000013,179200,179210,4.43,12.63
000014,179210,179220,6.36,15.47
000015,179220,179230,7.74,18.11
000016,179230,179240,5.35,19.43
000017,179240,179250,4.39,14.95
000018,179250,179260,2.86,14.97
000019,179260,179270,1.3,8.45
